date,experiment,strategy,nav,gross_nav_same_path,daily_return,gross_daily_return_same_path,transaction_cost,cumulative_transaction_cost
2020-01-02,weekly,multi_equal_3,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2020-01-03,weekly,multi_equal_3,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2020-01-06,weekly,multi_equal_3,1004981.7777366763,1005281.6877636681,0.004981777736676296,0.005281687763668108,299.91002699190244,299.91002699190244
2020-01-07,weekly,multi_equal_3,1016525.3744527827,1016825.2844797745,0.011486374153075518,0.011482947373472996,0.0,299.91002699190244
2020-01-08,weekly,multi_equal_3,1010643.3882882302,1010943.298315222,-0.005786364327323268,-0.005784657653907455,0.0,299.91002699190244
2020-01-09,weekly,multi_equal_3,1021194.6956328205,1021494.6056598123,0.010440188366008574,0.010437091142672772,0.0,299.91002699190244
2020-01-10,weekly,multi_equal_3,1020022.4073237603,1020322.3173507522,-0.001147957695112889,-0.0011476206556205737,0.0,299.91002699190244
2020-01-13,weekly,multi_equal_3,1028993.5831482431,1030771.9494789451,0.008795077206215973,0.01024150109283628,1478.4563037100354,1778.3663307019378
2020-01-14,weekly,multi_equal_3,1029418.0857295726,1031196.4520602745,0.00041254152434144764,0.0004118297762605305,0.0,1778.3663307019378
2020-01-15,weekly,multi_equal_3,1022894.2970849129,1024672.6634156149,-0.006337355769338471,-0.006326426581109268,0.0,1778.3663307019378
2020-01-16,weekly,multi_equal_3,1012424.6286238952,1014202.9949545972,-0.010235337601211203,-0.010217573704092375,0.0,1778.3663307019378
2020-01-17,weekly,multi_equal_3,1007820.8244080255,1009599.1907387275,-0.004547305632150889,-0.004539332104886773,0.0,1778.3663307019378
2020-01-20,weekly,multi_equal_3,1016574.2380395352,1019410.3694689812,0.008685485970833406,0.009717894804446958,1057.765098744035,2836.1314294459726
2020-01-21,weekly,multi_equal_3,1008927.6172942595,1011763.7487237054,-0.007521950152919787,-0.007501023115214056,0.0,2836.1314294459726
2020-01-22,weekly,multi_equal_3,1000299.7560371112,1003135.8874665571,-0.008551516589749508,-0.008527545356346256,0.0,2836.1314294459726
2020-01-23,weekly,multi_equal_3,963656.8175959924,966492.9490254383,-0.036631957790619896,-0.036528389522242466,0.0,2836.1314294459726
2020-02-03,weekly,multi_equal_3,871303.796572364,874364.3906310095,-0.09583600648830437,-0.09532253544873404,224.46262919948654,3060.5940586454594
2020-02-04,weekly,multi_equal_3,842824.5491295985,845885.143188244,-0.03268578371263897,-0.03257137155621426,0.0,3060.5940586454594
2020-02-05,weekly,multi_equal_3,867376.8598282925,870437.4538869379,0.0291309866615177,0.029025584497386125,0.0,3060.5940586454594
2020-02-06,weekly,multi_equal_3,883798.6714970173,886859.2655556627,0.01893272973869231,0.01886615930345492,0.0,3060.5940586454594
2020-02-07,weekly,multi_equal_3,897144.7068739932,900205.3009326386,0.015100764243478393,0.015048650778445527,0.0,3060.5940586454594
2020-02-10,weekly,multi_equal_3,923704.7920738211,928045.5999805321,0.029605129469440605,0.030926610873153182,1280.2138480655713,4340.80790671103
2020-02-11,weekly,multi_equal_3,924697.5498419699,929038.3577486809,0.001074756541989963,0.0010697295134738383,0.0,4340.80790671103
2020-02-12,weekly,multi_equal_3,933758.0956625052,938098.9035692163,0.009798388480734888,0.00975260681646306,0.0,4340.80790671103
2020-02-13,weekly,multi_equal_3,922677.8645028466,927018.6724095576,-0.011866275870729859,-0.011811367775296677,0.0,4340.80790671103
2020-02-14,weekly,multi_equal_3,922489.3115185377,926830.1194252487,-0.00020435407801888683,-0.00020339718057549305,0.0,4340.80790671103
2020-02-17,weekly,multi_equal_3,940754.6785091584,946425.2044415287,0.019800085228687925,0.021142045996985326,1329.7180256591528,5670.525932370183
2020-02-18,weekly,multi_equal_3,954971.135598764,960641.6615311343,0.0151117580537945,0.015021215646929598,0.0,5670.525932370183
2020-02-19,weekly,multi_equal_3,947911.3970400008,953581.922972371,-0.007392619834877934,-0.007348982291181305,0.0,5670.525932370183
2020-02-20,weekly,multi_equal_3,963159.8198058706,968830.3457382409,0.016086337619196645,0.015990679351743253,0.0,5670.525932370183
2020-02-21,weekly,multi_equal_3,969087.1828482174,974757.7087805877,0.006154080476012291,0.0061180608848809825,0.0,5670.525932370183
2020-02-24,weekly,multi_equal_3,965641.3498388104,972632.9422328902,-0.0035557512991550855,-0.0021797894272163054,1321.0664617096515,6991.592394079835
2020-02-25,weekly,multi_equal_3,951686.0449715342,958677.637365614,-0.0144518509585424,-0.014347966495190656,0.0,6991.592394079835
2020-02-26,weekly,multi_equal_3,956179.6857299875,963171.2781240672,0.004721768047557751,0.004687332408004785,0.0,6991.592394079835
2020-02-27,weekly,multi_equal_3,960923.224605377,967914.8169994567,0.004960928313142432,0.004924917284315544,0.0,6991.592394079835
2020-02-28,weekly,multi_equal_3,932802.2898337282,939793.882227808,-0.02926449694583788,-0.02905310909365333,0.0,6991.592394079835
2020-03-02,weekly,multi_equal_3,964871.9407836176,973142.230547866,0.03437990161409843,0.035484747188399224,1278.69737016862,8270.289764248455
2020-03-03,weekly,multi_equal_3,970104.0425050276,978374.332269276,0.005422586666952833,0.005376502588387844,0.0,8270.289764248455
2020-03-04,weekly,multi_equal_3,989164.4299417417,997434.7197059902,0.019647776528686434,0.019481692035506315,0.0,8270.289764248455
2020-03-05,weekly,multi_equal_3,1011664.4755241007,1019934.7652883491,0.022746517061560834,0.022557912951928438,0.0,8270.289764248455
2020-03-06,weekly,multi_equal_3,1025482.8704284404,1033753.1601926888,0.013659069027980753,0.01354831247509547,0.0,8270.289764248455
2020-03-09,weekly,multi_equal_3,1002686.0260090543,1012578.4614412662,-0.022230351258682446,-0.020483321905855778,1622.1456679634753,9892.43543221193
2020-03-10,weekly,multi_equal_3,1015176.2590833104,1025068.6945155223,0.012456773855690884,0.012335076786521793,0.0,9892.43543221193
2020-03-11,weekly,multi_equal_3,1007011.0453299992,1016903.4807622111,-0.0080431488426298,-0.007965528356292606,0.0,9892.43543221193
2020-03-12,weekly,multi_equal_3,992312.010130404,1002204.445562616,-0.014596697094596656,-0.014454700448638058,0.0,9892.43543221193
2020-03-13,weekly,multi_equal_3,981051.7341539888,990944.1695862007,-0.011347515561094035,-0.011235507910857478,0.0,9892.43543221193
